Rank,Name,Team,2024 Finish
NR,Jeffery Rogers,Oregon,
NR,Nick Sloff,Penn State,
NR,Thomas McMahon,Pittsburgh,
NR,Jonas Price,Portland,
NR,Hayden Boaz,Princeton,
NR,Brian Boler,Princeton,
NR,Collin Boler,Princeton,
NR,Jack Gregorski,Princeton,
NR,Christian Groendyk,Princeton,
NR,Steven Hergenrother,Princeton,
NR,Myles Hogan,Princeton,
NR,Avery Keith,Princeton,
NR,Sebastian Martinez,Princeton,
NR,Connor McCormick,Princeton,
NR,Jacob Nenow,Princeton,
NR,Franco Parra,Princeton,
NR,Marcelo Parra,Princeton,
NR,Jackson Shorten,Princeton,
NR,Cody Larson,South Dakota St.,
NR,Leo Young,Stanford,
NR,Paul Kiprotich,Stephen F. Austin,
NR,Connell Alford,Syracuse,
NR,Benne Anderson,Syracuse,
NR,Ben Gabelman,Syracuse,
NR,Assaf Harari,Syracuse,
NR,Matthew Neill,Syracuse,
NR,Sam Ricchiuti,Syracuse,
NR,Ruben Rojas Betanzos,Syracuse,
NR,Louis Small,Syracuse,
NR,Peter Walsdorf,Syracuse,
NR,Johnson Lagat,TCU,
NR,Jack Johnston,Texas A&M,
NR,Titus Kimaru,Texas Tech,
NR,Victor Kipkoech,Texas Tech,
NR,Joad Martinho,Toledo,
NR,Rogerio Amaral,Tulane,
NR,Juan Giron,Tulane,
NR,Silas Kiptanui,Tulane,
NR,Illia Kunin,Tulane,
NR,Paul Pam,Tulane,
NR,Tommy Rice,Tulane,
NR,Gilbert Rono,Tulane,
NR,Zach Van Houten,Tulane,
NR,Kgaogelo Moloisi,ULM,
NR,Jan Wouter Van Den Akker,UMass Lowell,
NR,Sila Kiplakat,Utah Valley,
NR,Charlie Moore,Villanova,
NR,CJ Sullivan,Villanova,
NR,Billy Atkinson,Virginia,
NR,Adam Balewicz,Virginia,
NR,Nicholas Bendtsen,Virginia,
NR,Aidan Cox,Virginia,
NR,Will Daley,Virginia,
NR,Brett Gardner,Virginia,
NR,Andrew Jones,Virginia,
NR,Richard Moreno,Virginia,
NR,Nathan Mountain,Virginia,
NR,Daniel O'Brien,Virginia,
NR,Justin Wachtel,Virginia,
NR,Harrison Witt,Virginia,
NR,Linus Chepkochei,Virginia Tech,
NR,Ryan Chevalier,Virginia Tech,
NR,Cameron Davis,Virginia Tech,
NR,Samuel Idiens,Virginia Tech,
NR,Carter Johnson,Virginia Tech,
NR,Nicholas Kipchirchir,Virginia Tech,
NR,Declan Rymer,Virginia Tech,
NR,Garrett Winter,Virginia Tech,
NR,Corey Campbell,Wake Forest,
NR,Gavin Ehlers,Wake Forest,
NR,Bryce Gilmore,Wake Forest,
NR,Hunter Jones,Wake Forest,
NR,Grant Morgenfeld,Wake Forest,
NR,Paul Specht,Wake Forest,
NR,Daniel Winter,Wake Forest,
NR,Micaiah Aden,Washington St.,
NR,Kade Brownell,Washington St.,
NR,Evan Bruce,Washington St.,
NR,Leo Cook,Washington St.,
NR,Aiden Emerson,Washington St.,
NR,Vincent Koech,Washington St.,
NR,Kutoven Stevens,Washington St.,
NR,Grayson Wilcott,Washington St.,
NR,Peter Visser,Weber State,
NR,Elkana Kipruto,Wichita State,
NR,Joe Bregenzer,Wisconsin,
NR,Christian de Vaal,Wisconsin,
NR,Nick Gilles,Wisconsin,
NR,Cillian Gleeson,Wisconsin,
NR,Matan Ivri,Wisconsin,
NR,Johnny Livingstone,Wisconsin,
NR,Liam Newhart,Wisconsin,
NR,Archie Noakes,Wisconsin,
NR,Manny Putz,Wisconsin,
NR,Pierce Seigne,Wisconsin,
NR,Ryan Severson,Wisconsin,
NR,Bryce Stachewicz,Wisconsin,
NR,Josh Truchon,Wisconsin,
NR,Micah Wilson,Wisconsin,
NR,Owen Karas,Yale,
NR,Kenan Pala,Yale,
